geocodigo,nome_mesorregiao,nome_microrregiao,NM_MUNICIPIO
3500105,Presidente Prudente,Adamantina,ADAMANTINA
3500204,São José do Rio Preto,São José do Rio Preto,ADOLFO
3500303,Campinas,Pirassununga,AGUAÍ
3500709,Bauru,Bauru,AGUDOS
3500758,Itapetininga,Itapetininga,ALAMBARI
3500808,Presidente Prudente,Presidente Prudente,ALFREDO MARCONDES
3500907,São José do Rio Preto,São José do Rio Preto,ALTAIR
3501004,Ribeirão Preto,Batatais,ALTINÓPOLIS
3501103,Araçatuba,Birigui,ALTO ALEGRE
3501152,Macro Metropolitana Paulista,Sorocaba,ALUMÍNIO
3501509,Marília,Marília,ALVINLÂNDIA
3501608,Campinas,Campinas,AMERICANA
3501905,Campinas,Amparo,AMPARO
3501707,Araraquara,Araraquara,AMÉRICO BRASILIENSE
3501806,São José do Rio Preto,Votuporanga,AMÉRICO DE CAMPOS
3502002,Araraquara,São Carlos,ANALÂNDIA
3502101,Araçatuba,Andradina,ANDRADINA
3502200,Itapetininga,Itapetininga,ANGATUBA
3502309,Bauru,Botucatu,ANHEMBI
3502408,Presidente Prudente,Presidente Prudente,ANHUMAS
3502507,Vale do Paraíba Paulista,Guaratinguetá,APARECIDA
3502606,São José do Rio Preto,Jales,APARECIDA D OESTE
3502705,Itapetininga,Capão Bonito,APIAÍ
3503000,Ribeirão Preto,Ituverava,ARAMINA
3503109,Bauru,Avaré,ARANDU
3503158,Vale do Paraíba Paulista,Bananal,ARAPEÍ
3503208,Araraquara,Araraquara,ARARAQUARA
3503307,Piracicaba,Limeira,ARARAS
3502754,Macro Metropolitana Paulista,Sorocaba,ARAÇARIGUAMA
3502804,Araçatuba,Araçatuba,ARAÇATUBA
3502903,Macro Metropolitana Paulista,Sorocaba,ARAÇOIABA DA SERRA
3503356,Marília,Tupã,ARCO-ÍRIS
3503406,Bauru,Bauru,AREALVA
3503505,Vale do Paraíba Paulista,Bananal,AREIAS
3503604,Bauru,Bauru,AREIÓPOLIS
3503703,São José do Rio Preto,Catanduva,ARIRANHA
3503802,Campinas,Mogi Mirim,ARTUR NOGUEIRA
3503901,Metropolitana de São Paulo,Guarulhos,ARUJÁ
3503950,São José do Rio Preto,Jales,ASPÁSIA
3504008,Assis,Assis,ASSIS
3504107,Macro Metropolitana Paulista,Bragança Paulista,ATIBAIA
3504206,São José do Rio Preto,Auriflama,AURIFLAMA
3504404,Araçatuba,Birigui,AVANHANDAVA
3504503,Bauru,Avaré,AVARÉ
3504305,Bauru,Bauru,AVAÍ
3504602,São José do Rio Preto,São José do Rio Preto,BADY BASSITT
3504701,Bauru,Bauru,BALBINOS
3504909,Vale do Paraíba Paulista,Bananal,BANANAL
3505104,Araçatuba,Birigui,BARBOSA
3505203,Bauru,Jaú,BARIRI
3505302,Bauru,Jaú,BARRA BONITA
3505351,Itapetininga,Capão Bonito,BARRA DO CHAPÉU
3505401,Litoral Sul Paulista,Registro,BARRA DO TURVO
3505500,Ribeirão Preto,Barretos,BARRETOS
3505609,Ribeirão Preto,Ribeirão Preto,BARRINHA
3505708,Metropolitana de São Paulo,Osasco,BARUERI
3505005,Itapetininga,Itapeva,BARÃO DE ANTONINA
3505807,Marília,Tupã,BASTOS
3505906,Ribeirão Preto,Batatais,BATATAIS
3506003,Bauru,Bauru,BAURU
3506102,Ribeirão Preto,Jaboticabal,BEBEDOURO
3506201,Araçatuba,Araçatuba,BENTO DE ABREU
3506300,Assis,Ourinhos,BERNARDINO DE CAMPOS
3506359,Metropolitana de São Paulo,Santos,BERTIOGA
3506409,Araçatuba,Birigui,BILAC
3506508,Araçatuba,Birigui,BIRIGUI
3506607,Metropolitana de São Paulo,Mogi das Cruzes,BIRITIBA MIRIM
3506706,Araraquara,Araraquara,BOA ESPERANÇA DO SUL
3506805,Bauru,Jaú,BOCAINA
3506904,Bauru,Botucatu,BOFETE
3507001,Itapetininga,Tatuí,BOITUVA
3507100,Macro Metropolitana Paulista,Bragança Paulista,BOM JESUS DOS PERDÕES
3507159,Itapetininga,Itapeva,BOM SUCESSO DE ITARARÉ
3507308,Bauru,Jaú,BORACÉIA
3507407,Araraquara,Araraquara,BORBOREMA
3507456,Bauru,Bauru,BOREBI
3507209,Assis,Assis,BORÁ
3507506,Bauru,Botucatu,BOTUCATU
3507605,Macro Metropolitana Paulista,Bragança Paulista,BRAGANÇA PAULISTA
3507704,Araçatuba,Birigui,BRAÚNA
3507753,Araçatuba,Birigui,BREJO ALEGRE
3507803,Ribeirão Preto,Ribeirão Preto,BRODOWSKI
3507902,Piracicaba,Rio Claro,BROTAS
3508009,Itapetininga,Itapeva,BURI
3508108,Araçatuba,Birigui,BURITAMA
3508207,Ribeirão Preto,Ituverava,BURITIZAL
3504800,São José do Rio Preto,São José do Rio Preto,BÁLSAMO
3508405,Macro Metropolitana Paulista,Sorocaba,CABREÚVA
3508306,Bauru,Bauru,CABRÁLIA PAULISTA
3508603,Vale do Paraíba Paulista,Guaratinguetá,CACHOEIRA PAULISTA
3508702,Campinas,São João da Boa Vista,CACONDE
3508801,Bauru,Lins,CAFELÂNDIA
3508900,Presidente Prudente,Presidente Prudente,CAIABU
3509007,Metropolitana de São Paulo,Franco da Rocha,CAIEIRAS
3509106,Presidente Prudente,Presidente Prudente,CAIUÁ
3509205,Metropolitana de São Paulo,Osasco,CAJAMAR
3509254,Litoral Sul Paulista,Registro,CAJATI
3509304,São José do Rio Preto,Catanduva,CAJOBI
3509403,Ribeirão Preto,Batatais,CAJURU
3509452,Itapetininga,Itapetininga,CAMPINA DO MONTE ALEGRE
3509502,Campinas,Campinas,CAMPINAS
3509601,Macro Metropolitana Paulista,Jundiaí,CAMPO LIMPO PAULISTA
3509809,Assis,Assis,CAMPOS NOVOS PAULISTA
3509700,Vale do Paraíba Paulista,Campos do Jordão,CAMPOS DO JORDÃO
3509908,Litoral Sul Paulista,Registro,CANANÉIA
3509957,Vale do Paraíba Paulista,Guaratinguetá,CANAS
3510153,Assis,Ourinhos,CANITAR
3510302,Macro Metropolitana Paulista,Sorocaba,CAPELA DO ALTO
3510401,Piracicaba,Piracicaba,CAPIVARI
3510203,Itapetininga,Capão Bonito,CAPÃO BONITO
3510500,Vale do Paraíba Paulista,Caraguatatuba,CARAGUATATUBA
3510609,Metropolitana de São Paulo,Osasco,CARAPICUÍBA
3510708,São José do Rio Preto,Votuporanga,CARDOSO
3510807,Campinas,São João da Boa Vista,CASA BRANCA
3511003,Araçatuba,Andradina,CASTILHO
3511102,São José do Rio Preto,Catanduva,CATANDUVA
3511201,São José do Rio Preto,Catanduva,CATIGUÁ
3508504,Vale do Paraíba Paulista,São José dos Campos,CAÇAPAVA
3511300,São José do Rio Preto,São José do Rio Preto,CEDRAL
3511409,Bauru,Avaré,CERQUEIRA CÉSAR
3511508,Itapetininga,Tatuí,CERQUILHO
3511607,Itapetininga,Tatuí,CESÁRIO LANGE
3511706,Piracicaba,Piracicaba,CHARQUEADA
3557204,Assis,Ourinhos,CHAVANTES
3511904,Araçatuba,Birigui,CLEMENTINA
3512001,Ribeirão Preto,Barretos,COLINA
3512100,Ribeirão Preto,Barretos,COLÔMBIA
3512209,Piracicaba,Limeira,CONCHAL
3512308,Bauru,Botucatu,CONCHAS
3512407,Piracicaba,Limeira,CORDEIRÓPOLIS
3512506,Araçatuba,Birigui,COROADOS
3512605,Itapetininga,Itapeva,CORONEL MACEDO
3512704,Piracicaba,Rio Claro,CORUMBATAÍ
3512902,São José do Rio Preto,Votuporanga,COSMORAMA
3512803,Campinas,Campinas,COSMÓPOLIS
3513009,Metropolitana de São Paulo,Itapecerica da Serra,COTIA
3513108,Ribeirão Preto,Ribeirão Preto,CRAVINHOS
3513207,Ribeirão Preto,Franca,CRISTAIS PAULISTA
3513405,Vale do Paraíba Paulista,Guaratinguetá,CRUZEIRO
3513306,Assis,Assis,CRUZÁLIA
3513504,Metropolitana de São Paulo,Santos,CUBATÃO
3513603,Vale do Paraíba Paulista,Paraibuna/Paraitinga,CUNHA
3510906,Ribeirão Preto,Batatais,CÁSSIA DOS COQUEIROS
3510005,Assis,Assis,CÂNDIDO MOTA
3510104,Ribeirão Preto,Jaboticabal,CÂNDIDO RODRIGUES
3513702,Araraquara,São Carlos,DESCALVADO
3513801,Metropolitana de São Paulo,São Paulo,DIADEMA
3513850,São José do Rio Preto,Jales,DIRCE REIS
3513900,Campinas,São João da Boa Vista,DIVINOLÂNDIA
3514007,Araraquara,Araraquara,DOBRADA
3514106,Bauru,Jaú,DOIS CÓRREGOS
3514205,São José do Rio Preto,Jales,DOLCINÓPOLIS
3514304,Araraquara,São Carlos,DOURADO
3514403,Presidente Prudente,Dracena,DRACENA
3514502,Bauru,Bauru,DUARTINA
3514601,Ribeirão Preto,Ribeirão Preto,DUMONT
3514700,Marília,Marília,ECHAPORÃ
3514809,Litoral Sul Paulista,Registro,ELDORADO
3514908,Campinas,Campinas,ELIAS FAUSTO
3514924,São José do Rio Preto,Catanduva,ELISIÁRIO
3514957,São José do Rio Preto,Catanduva,EMBAÚBA
3515004,Metropolitana de São Paulo,Itapecerica da Serra,EMBU DAS ARTES
3515103,Metropolitana de São Paulo,Itapecerica da Serra,EMBU-GUAÇU
3515129,Presidente Prudente,Presidente Prudente,EMILIANÓPOLIS
3515152,Campinas,Mogi Mirim,ENGENHEIRO COELHO
3515186,Campinas,São João da Boa Vista,ESPÍRITO SANTO DO PINHAL
3515194,Assis,Ourinhos,ESPÍRITO SANTO DO TURVO
3557303,Campinas,Mogi Mirim,ESTIVA GERBI
3515202,São José do Rio Preto,Fernandópolis,ESTRELA D OESTE
3515301,Presidente Prudente,Presidente Prudente,ESTRELA DO NORTE
3515350,Presidente Prudente,Presidente Prudente,EUCLIDES DA CUNHA PAULISTA
3515400,Assis,Ourinhos,FARTURA
3515608,Ribeirão Preto,Jaboticabal,FERNANDO PRESTES
3515509,São José do Rio Preto,Fernandópolis,FERNANDÓPOLIS
3515657,Marília,Marília,FERNÃO
3515707,Metropolitana de São Paulo,Mogi das Cruzes,FERRAZ DE VASCONCELOS
3515806,Presidente Prudente,Adamantina,FLORA RICA
3515905,São José do Rio Preto,Auriflama,FLOREAL
3516101,Assis,Assis,FLORÍNEA
3516002,Presidente Prudente,Adamantina,FLÓRIDA PAULISTA
3516200,Ribeirão Preto,Franca,FRANCA
3516309,Metropolitana de São Paulo,Franco da Rocha,FRANCISCO MORATO
3516408,Metropolitana de São Paulo,Franco da Rocha,FRANCO DA ROCHA
3516507,Araçatuba,Birigui,GABRIEL MONTEIRO
3516705,Marília,Marília,GARÇA
3516804,São José do Rio Preto,Auriflama,GASTÃO VIDIGAL
3516853,Araraquara,Araraquara,GAVIÃO PEIXOTO
3516903,São José do Rio Preto,Auriflama,GENERAL SALGADO
3517000,Bauru,Lins,GETULINA
3517109,Araçatuba,Birigui,GLICÉRIO
3517307,Bauru,Lins,GUAIMBÊ
3517208,Bauru,Lins,GUAIÇARA
3517604,Itapetininga,Capão Bonito,GUAPIARA
3517505,São José do Rio Preto,São José do Rio Preto,GUAPIAÇU
3517901,São José do Rio Preto,São José do Rio Preto,GUARACI
3518008,São José do Rio Preto,Fernandópolis,GUARANI D OESTE
3518107,Bauru,Bauru,GUARANTÃ
3518206,Araçatuba,Araçatuba,GUARARAPES
3518305,Metropolitana de São Paulo,Mogi das Cruzes,GUARAREMA
3518404,Vale do Paraíba Paulista,Guaratinguetá,GUARATINGUETÁ
3517802,Araçatuba,Andradina,GUARAÇAÍ
3518503,Itapetininga,Itapetininga,GUAREÍ
3518602,Ribeirão Preto,Jaboticabal,GUARIBA
3518701,Metropolitana de São Paulo,Santos,GUARUJÁ
3518800,Metropolitana de São Paulo,Guarulhos,GUARULHOS
3517703,Ribeirão Preto,Ituverava,GUARÁ
3518859,Ribeirão Preto,Ribeirão Preto,GUATAPARÁ
3517406,Ribeirão Preto,São Joaquim da Barra,GUAÍRA
3518909,São José do Rio Preto,Auriflama,GUZOLÂNDIA
3516606,Marília,Marília,GÁLIA
3519006,Marília,Tupã,HERCULÂNDIA
3519055,Campinas,Campinas,HOLAMBRA
3519071,Campinas,Campinas,HORTOLÂNDIA
3519105,Bauru,Bauru,IACANGA
3519204,Marília,Tupã,IACRI
3519253,Bauru,Avaré,IARAS
3519303,Araraquara,São Carlos,IBATÉ
3519501,Assis,Assis,IBIRAREMA
3519402,São José do Rio Preto,São José do Rio Preto,IBIRÁ
3519600,Araraquara,Araraquara,IBITINGA
3519709,Macro Metropolitana Paulista,Piedade,IBIÚNA
3519808,São José do Rio Preto,São José do Rio Preto,ICÉM
3519907,Assis,Assis,IEPÊ
3520103,Ribeirão Preto,Ituverava,IGARAPAVA
3520202,Vale do Paraíba Paulista,São José dos Campos,IGARATÁ
3520004,Bauru,Jaú,IGARAÇU DO TIETÊ
3520301,Litoral Sul Paulista,Registro,IGUAPE
3520426,Litoral Sul Paulista,Registro,ILHA COMPRIDA
